Parsa,Estakhr
Ahmedabad,Ahmedabad
Ankuwash,Angora
Pataliputra,Azimabad
Patna,Azimabad
Babilim,Tisfun
Byzantium,Asitane
Bactra,Bhakri
Dur Untash,Chogha Zanbil
Dilli,Delhi
Indraprastha,Delhi
Hangmatana,Hamedan
Roma,Hrwm
Hyderabad,Hyderabad
Jaisalmer,Jaisalmer
Kolachi,Kolachi
Lahore,Lahore
Merv,Marv
Multan,Multan
Pathragada,Pathragada
Peshawar,Peshawar
Ragha,Ragha
Samarqand,Samarqand
Hekatompilos,Sauloe
Shiraz,Sirajis
Sardis,Sparda
Orduqent,Suyab
Tehran,Tehran
Tureng Tepe,Tureng Tepe
Udaipur,Udaipur
Yerushalayim,Urishlim
Spahan,Isfahan
Shushan,Shush
Ur,Basreh
Ash-shur,Musl
Ninua,Musl
Komis,Shahr-e Qumis
