Abdju,Abydos
Nikopolis,Actia Nicopolis
Adiacium,Adiacium
Yerushalayim,Aelia Capitolina
Ljubljana,Aemona Iulia
Akka,Akko
Alexandretta,Alexandretta
Alexandreia,Alexandria
Amisos,Amisus
Automala,Anabucis
Ankuwash,Ancyra
Aquileia,Aquileia
Budapest,Aquincum
Aachen,Aquisgranum
Arae,Arae Philaenorum
Artashat,Artaxata
Zawty,Asyut
Athenai,Athenae
Attaleia,Attalea
Augsburg,Augusta Vindelicorum
Pi-Ramesses,Avaris
Babilim,Babylon
Kolachi,Barbaricum
Bari,Barium
Nijmegen,Batavodurum
Berlin,Berolinum
Frankfurt,Bona Mansio
Brundisium,Brundisium
Per-Bastet,Bubastis
Bordeaux,Burdigala
Per-Wadjet,Buto
Zaragoza,Caesaraugusta
Kaisareia,Caesarea Mazaca
Königsberg,Calininopolis
Qart-Hadasht,Carthago
Cluj,Napoca
Chersonesos,Chersonesus
Kition,Citium
Köln,Colonia Agrippina
Byzantium,Byzantium
Korinthos,Corinthus
Kraków,Cracovia
Kyrene,Cyrene
Dimashq,Damascus
Delphoi,Delphi
Niwt-Rst,Diospolis Magna
Dorylaion,Dorylaeum
Dresden,Dresda
Durostulon,Durostorum
Epidamnos,Dyrrachium
Yebu,Elephantine
Emporion,Emporiae
Ephesos,Ephesus
Lisboa,Felicitas Iulia
Gdansk,Gedanum
Genève,Geneva
Gordion,Gordium
Roskilde,Hafnia
Roskilde,Hafnia
Halikarnassos,Halicarnassus
Hamburg,Hamburgum
Hannover,Hannovera
Per-Atum,Heliopolis
Helsinki,Helsingia
Herakleia,Heraklia
Khmun,Hermopolis
Nekhen,Hierakonpolis
Zadar,Iadera
Ikonion,Iconium
Iol,Iol Caesarea
Angers,Iuliomagus
Larnaca,Larnaca
Leptis Magna,Leptis Magna
Lixos,Lixus
Lyon,Lugdunum
Paris,Lutetia Parisiorum
Samarqand,Marakanda
Marseille,Massilia
Mediolanum,Mediolanum
Melitene,Melitene
Menefer,Memphis
Tenochtitlan,Mexicopolis
Mainz,Moguntiacum
Tyras,Moncastrum
Mykenai,Mycenae
Naissos,Naissus
Neokastron,Navarino
Neapolis,Neapolis
Nikaia,Nicaea
Ninua,Nineve
Odessos,Odessus
Faro,Ossonoba
Poseidonia,Paestum
Palermo,Panormus
Pikuat,Alexandria
Pelusion,Pelusium
Petra,Petra
Pamplona,Pompaelo
Pompeii,Pompeii
Oporto,Portus Cale
Tallinn,Revalia
Rhegium,Rhegium
Roma,Roma
Rostock,Rostochium
Sala,Sala Colonia
Sardis,Sardis
Shush,Seleucia ad Eulaeum
Sydwn,Sidon
Beograd,Singidunum
Sirmium,Sirmium
Split,Spalatum
Sparte,Sparta
Syrakousai,Syracusae
Djanet,Tanis
Tarentum,Tarentum
Tarragona,Tarraco
Tarsos,Tarsus
Tanja,Tingi
Tirana,Tirana
Toledo,Toletum
Konstantia,Tomis
Trapezous,Trapezus
Tripolis,Regio Tripolitana
Sur,Tyrus
Valencia,Valentia
Warszawa,Varsovia
Santander,Victoriae Iuliobrigensium
Wien,Vindobona
Klagenfurt,Virunum
Oyat,Tripolis
Wyksm,Icosium
Qâdis,Gades
Cartagena,Nova Carthago
Tortosa,Dertosa
Shigan,Siga
Madrid,Castra Legionis
Leon,Castra Legionis
Halab,Beroea
Shushan,Susa
Spahan,Aspadana
Taouion,Tavium
London,Londinium
Clermont,Civitas Arvernorum
Arbela,Arbela
Ur,Charax Spasinou
Ash-shur,Nineve
Ninua,Nineve
Hangmatana,Ecbatana
Nishapur,Susia
Taucheira,Arsinoe
Ilion,Alexandria Troas
Pella,Thessalonica
Venezia,Ravenna
Thatta,Patala
Odesa,Olbia
Knossos,Gortyna
Tarnovo,Nicopolis
Ras,Arsa
Meninx,Meninx
Yglgl,Igilgilis
Qart-Tin,Cartennae
Tlemcen,Pomaria
Arles,Arelate
Ugarit,Laodicea
Kirthan,Cirta
Pwn,Hippo Regius
Rskd,Russicada
Antiokheia,Antiochia
Ishbiliya,Hispalis
Rennes,Condate Riedonum
Barcelona,Emporiae
